지역,시군구,읍면동,상세주소,구분,장소유형,위도,경도
제주특별자치도,제주시,한림읍,한림항 화물선 부두 앞 ,추락,항포구,33.40748333,126.2533167
제주특별자치도,제주시,한림읍,한림 수협 어판장 앞에 차량이 빠짐,추락,항포구,33.40978333,126.256635
제주특별자치도,제주시,한림읍,제주시 한림읍 협재리 협재포구 내,추락,항포구,33.39258333,126.2393
제주특별자치도,서귀포시,대정읍,운진항 소형어선 부두,추락,항포구,33.20624667,126.25388
제주특별자치도,서귀포시,대정읍,운진항 여객대합실 앞 항내 ,추락,항포구,33.20574667,126.2549233
제주특별자치도,서귀포시,대정읍,수협어판장,추락,항포구,33.20990833,126.25034
제주특별자치도,서귀포시,대정읍,서귀포시 대정읍 운진항,추락,항포구,33.20574667,126.2549333
제주특별자치도,서귀포시,대정읍,운진항(모슬포남항),돌진,항포구,33.20998333,126.2432367
제주특별자치도,서귀포시,대포로,서귀포시 대포로 172-7(대포동 어촌계잠수 탈의장),추락,항포구,33.236305,126.4368383
제주특별자치도,서귀포시,서귀동,서귀포항 6부두 외측 끝단,추락,항포구,33.23569833,126.5682967
제주특별자치도,서귀포시,서홍동,로즈마린 카폐 앞 포구,추락,항포구,33.23853667,126.5558033
제주특별자치도,서귀포시,성산읍,성산리 성산항 도선장 컨테이너 앞 22m ,추락,항포구,33.47049,126.9266633
제주특별자치도,서귀포시,송산동,서귀포항 5부두,추락,항포구,33.23522333,126.5672667
제주특별자치도,서귀포시,칠십리로,서귀포수협 연쇄점 앞 ,추락,항포구,33.23703833,126.5580383
강원도,강릉시,견소동,강릉시 안목해변 스타벅스 앞 해상,너울성파도,해안가,37.76955167,128.942595
강원도,강릉시,해안로,강릉 순긋해수욕장,너울성파도,해안가,37.809965,128.8893833
강원도,강릉시,사천면,사천진해수욕장,너울성파도,해수욕장,37.83820833,128.8718317
강원도,동해시,어달동,어달항 방파제,너울성파도,방파제,37.55748,129.11863
강원도,삼척시,교동,작은후진 해변,너울성파도,해안가,37.45858833,129.17176
강원도,고성군,토성면,봉포해변 (청년 상상마당 앞 해변),너울성파도,해수욕장,38.25185,128.5587533
강원도,속초시,영랑동,영금정 갯바위,너울성파도,갯바위,38.20687167,128.6009117
강원도,양양군,강현면,낙산 방파제,너울성파도,방파제,38.11980667,128.6261967
강원도,양양군,현북면,하조대 전망대 인근,너울성파도,해안가,38.02002,128.7239417
강원도,양양군,현남면,남애3리 인근 해안가,너울성파도,해안가,37.93835167,128.78579
경상북도,영덕군,축산면,축상항 5길 삼거리 앞,너울성파도,갯바위,36.50702333,129.4427833
경상북도,포항시,장기면,계원 1리 항내,너울성파도,방파제,35.86934667,129.5234367
경상북도,포항시,청하면,이가리 양지해변,너울성파도,해안가,36.18438167,129.3834317
경상북도,포항시,송라면,화진2리 더케이프 앞 해안가,너울성파도,해안가,36.238605,129.3754417
인천광역시,옹진군,덕적면,소야도 선착장 인근 방파제 앞 ,추락,,37.22116667,126.15635
인천광역시,옹진군,영흥면,인천 옹진군 선재도 목섬,추락,,37.22416667,126.5263333
인천광역시,옹진군,영흥면,인천시 웅진군 선재도 목섬 인근 ,고립,,37.22433333,126.5263333
인천광역시,웅진군,선재리,인천시 옹진군 선재리 뻘다방 주차장 슬립웨이,추락,,37.22637,126.5265067
인천광역시,웅진군,영흥면,인천 옹진군 영흥면 측도 진입로,고립,,37.23541667,126.5210167
인천광역시,웅진군,영흥면,측도 펜션 앞 갯벌,고립,,37.233735,126.5180717
인천광역시,웅진군,영흥면,용담리 해수욕장 모래사장,고립,,37.23778333,126.47085
인천광역시,웅진군,영흥면,인천시 옹진군 영흥면 선재리 선재선착장 앞 ,추락,,37.2344,126.5363667
인천광역시,웅진군,영흥면,옹진군 선재도 측도 인근 ,고립,,37.2347,126.5191
인천광역시,웅진군,영흥면,선재도~측도 도로 6번째 철탑(인천 옹진군 선재도 선재로 95번길),고립,,37.23475,126.5192183
인천광역시,웅진군,영흥면,인천시 옹진군 영흥면 수협공판장 앞 선착장,고립,,37.25228167,126.4918917
인천광역시,웅진군,영흥면,인천시 웅진군 영흥면 넛출 선착장,고립,,37.25252667,126.50642
인천광역시,옹진군,영흥면,인천 영흥면 내리 진두선착장,고립,,37.25267833,126.49263
인천광역시,옹진군,영흥면,진두항 중간 계류장,고립,,37.25268833,126.4926167
인천광역시,옹진군,영흥면,영흥면 내리 어촌계 앞 ,고립,,37.25911667,126.4911067
인천광역시,옹진군,영흥면,인천 옹진군 영흥면 영흥로 366(중앙슈퍼) 앞,추락,,37.25159167,126.4717767
인천광역시,웅진군,영흥면,인천 옹진군 영흥면 내리 238-97 붉은노리펜션 앞,추락,,37.25165,126.4719667
인천광역시,웅진군,영흥면,인천 옹진군 영흥면 장경리 해수욕장 의용소방대 가건물 앞 갯벌,고립,,37.27028333,126.44315
인천광역시,옹진군,영흥면,인천 옹진군 영흥면 영흥도 장경리 해수욕장 해안가 갯벌,고립,,37.2703,126.4431667
경기도 ,시흥시,정왕동,오이도 중간선착장,고립,,37.322045,126.652855
경기도 ,시흥시,정왕동,시화방조제 중간선착장,고립,,37.32233333,126.6526667
경기도 ,시흥시,정왕동,경기도 시흥 중간선착장,추락,,37.32235333,126.652795
경기도,시흥시,오이도로,오이도선착장 갯벌체험장 슬립웨이,추락,,37.34033333,126.6846667
인천광역시,송도동,,송도블루오션 인근 ,추락,,37.3555,126.6503333
인천광역시,중구,무의도,인천시 중구 무의도 광명항 인근 덕점방파제,추락,,37.36949833,126.434335
인천광역시,중구,무의동,무의도 큰무리 선착장 슬립웨이 앞 ,추락,,37.40612833,126.40876
인천광역시,중구,덕교동,인천 중구 덕교동 잠진선착장 및 갯벌,추락,,37.416775,126.40906
인천광역시,중구,덕교동,인천광역시 중구 덕교동-잠진도 간 연결 도로중간,추락,,37.41955333,126.4170433
인천광역시,중구,운서동,인천 중구 참진도길 11 거잠포선착장,고립,,37.41965833,126.4219867
인천광역시,중구,을왕동,인천시 중구 을왕동 선녀바위 해수욕장,고립,,37.43717667,126.3738383
인천광역시,중구,서해대로,영진부두(남항소재) ,추락,,37.44025833,126.6177067
인천광역시,중구,을왕동,을왕해수욕장 통합센터 앞 해안가,고립,,37.44063333,126.3703167
인천광역시,중구,항동,인천 중구 남항부두 인근 ,추락,,37.44074667,126.6031683
인천광역시,중구,을왕동,을왕리해수욕장 태종대 횟집 앞 ,고립,,37.44142167,126.3702383
인천광역시,중구,을왕동,을왕리 해수욕장 해피마트 정면 30m 앞 모래사장,고립,,37.44195,126.3701167
인천광역시,중구,을왕동,을왕리 선착장 앞 ,추락,,37.442255,126.3683383
인천광역시,중구,을왕동,"인천시 을왕동 소재 선녀바위 선착장 앞 10M 모래밭,",고립,,37.43486,126.375825
인천광역시,중구,을왕동,왕산해수욕장 해변,고립,,37.45233333,126.3683333
인천광역시,중구,을왕동,인천광역시 중구 을왕동 소재 왕산해수욕장 모래사장,고립,,37.45358333,126.3677
인천광역시,중구,항동,인천 중구 소재 연안부두 7잔교,추락,,37.45462833,126.59138
인천광역시,서구,원창동,인천 서구 원창동 SK저유소 제4부두 돌핀부두,추락,,37.45474833,126.6203633
인천광역시,중구,을왕동,인천 영종도 왕산해수욕장 인근,고립,,37.45475667,126.3592967
인천광역시,중구,항동,연안부두 6잔교,추락,,37.45532833,126.5921817
인천광역시,중구,항동,인천 중구 연안부두 5잔교 수협공판장 앞 ,추락,,37.455695,126.592675
인천광역시,중구,항동,인천 남항부두 미래해운 앞 ,고립,,37.45128833,126.6057617
인천광역시,중구,월미동,인천시 중구 북성동 소재 인천해경 월미출장소 옆(공영주차장 앞 ),추락,,37.47285167,126.5920133
인천광역시,중구,영종도,"인천시 중구 영종도 공항북로 중간지점, 제3경비단 초소(화-63) 앞 ",추락,,37.48623333,126.40175
인천광역시,동구,만석동,인천 만석부두 성혜개발 앞 ,추락,,37.48689833,126.6179867
인천광역시,중구,중산동,인천광역시 중구 중산동 소재 구읍뱃터(제1부두 및 제2부두 선착장 사이) 중간 선착장,추락,,37.48869667,126.5756767
인천광역시,중구,중산동,구읍뱃터 어선 선착장,추락,,37.48891667,126.5752167
인천광역시,중구,운서동,영종도 삼목선착장 앞 갯벌,추락,,37.49323833,126.451475
인천광역시,웅진군,북도면,인천시 옹진군 북도면 신도2리 선착장,추락,,37.50845333,126.43698
인천광역시,중구,중산동,인천시 중구 중산동 1823-1 선착장,추락,,37.50983333,126.55835
인천광역시,웅진군,북도면,장봉도 작은 야달 선착장 내,고립,,37.52002167,126.3228267
인천광역시,웅진군,북도면,장봉도 옹암 해수욕장 백사장,고립,,37.52458333,126.3701833
인천광역시,웅진군,북도면,인천시 옹진군 북도면 장봉리 소재 장봉 선착장,추락,,37.5251,126.38395
인천광역시,중구,장봉도,인천 중구 장봉도 옹암선착장 인근,고립,,37.52564167,126.38414
인천광역시,웅진군,장봉도,인천 옹진군 장봉도 옹암 선착장 옆 해안 ,고립,,37.52598333,126.3833667
인천광역시,서구,영종대로,영종대교,추락,,37.54033333,126.5763333
인천광역시,웅진군,북도면,장봉도 일리선착장 인근 해안가,고립,,37.53469667,126.383905
인천광역시,옹진군,북도면,가막머리 낙조대,추락,,37.556,126.305
인천광역시,웅진군,북도면,찬우물 해변 모래톱,고립,,37.55159167,126.3230083
인천광역시,강화군,화도면,강화도 분오 선착장,추락,,37.58707333,126.45754
인천광역시,강화군,길상면,강화군 선두5리 선착장 ,고립,,37.58971667,126.4903667
인천광역시,강화군,길상면,인천 강화군 길상면 동검도 동검선착장 앞 (갯벌),추락,,37.58490333,126.5219917
인천광역시,강화군,길상면,해안남로 298번길 장어마을 앞 도로,추락,,37.60618167,126.518945
인천광역시,옹진군,연평면,옹진군 연평면 소연평도,추락,,37.60789333,125.7191167
인천광역시,옹진군,연평면,소연평도 동측방파제 앞 ,추락,,37.6085,125.7056667
인천광역시,강화군,길상면,강화도 황산바다낚시터,추락,,37.61983333,126.5345
인천광역시,강화군,길상면,경찰수련원 인근,추락,,37.62152333,126.5338183
인천광역시,강화군,길상면,강화도 황산도 레저낚시터 인근 갯벌,추락,,37.61830333,126.534695
인천광역시,강화군,화도면,후포항 선수 선착장,추락,,37.63670167,126.38466
인천광역시,강화군,화도면,강화도 후포항 선착장,추락,,37.63671667,126.3846417
인천광역시,강화군,화도면,강화군 화도면 내리 4-1857번지 용궁횟집 앞,추락,,37.63703333,126.3859333
인천광역시,웅진군,연평면,인천 옹진군 연평면 당섬~안목선착장 약 50m 도로,고립,,37.65001667,125.7078
인천광역시,옹진군,연평면,연평도 내항선착장,추락,,37.65319,125.7065617
인천광역시,웅진군,연평면,인천시 옹진군 연평면 당섬 외항선착장,추락,,37.653435,125.70779
인천광역시,웅진군,연평면,인천시 옹진군 연평면 연육교 다리 밑 잠수도로,추락,,37.65373333,125.7029833
인천광역시,웅진군,연평면,,추락,,37.65840167,125.7062617
인천광역시,강화군,양도면,인천시 강화 양도면 건평리 건평선착장 70m,추락,,37.6748,126.3927333
인천광역시,강화군,내가면,강화군 내가면 외포리 정포항(외포항),추락,,37.70024333,126.375355
인천광역시,강화군,내기면,황청포구 선착장 주차장 앞,추락,,37.70731667,126.3518667
인천광역시,강화군,삼산면,서검항 선착장,추락,,37.71710333,126.234215
인천광역시,강화군,내가면,강화 계룡돈대 인근 갯벌,고립,,37.720485,126.3523917
인천광역시,강화군,교동,인천 강화군 교동 죽산포 선착장,추락,,37.75498833,126.237955
인천광역시,웅진군,대청면,대청도 여객선 선착장옆 물량장,추락,,37.822285,124.716705
인천광역시,웅진군,백령면,사곶해변 주 출입로 30m 부근,고립,,37.952,124.7201667
인천광역시,웅진군,용기포,백령 용기포 선착장 부두,추락,,37.95308333,124.7347
인천광역시,웅진군,백령면,백령도 사항포 포구 차량 추락 관련,추락,,37.96998333,124.642
충청남도,당진시,신평면,당진시 삽교방조제 함상공원 인근 갯벌,추락,,36.891,126.8176667
충청남도,당진시,신평면,충남 당진시 맷돌포구 슬립웨이,추락,,36.90599667,126.80904
충청남도,당진시,신평면,부수리 105-6 해안산책로(맷돌포구),추락,,36.90116667,126.8095
충청남도,당진시,송악읍,부곡공단로 68-20 짬모텔 앞,고립,,36.9395,126.7896667
충청남도,당진시,송악읍,복운리 1670번지(GS EPS 발전소 하단),고립,,36.95,126.7873333
충청남도,당진시,송악읍,충남 당진시 송악읍 안섬포구 인근해안가,추락,,36.98616667,126.7358333
경기도,평택시,포승읍,경기도 평택시 동부두 1정문 도로 끝부분 수로,고립,,36.98369333,126.8213133
충청남도,당진시,석문면,당진시 송산면 가곡리1-1,추락,,36.99284833,126.6849967
충청남도,서산시,대산읍,삼길포 선착장,고립,,37.00281333,126.4514417
충청남도,당진시,석문면,당진시 석문면 마섬포구 어부마을 앞 갯벌,고립,,37.02136333,126.5703817
충청남도,당진시,석문면,당진시 석문면 장고항 1리 석문방조제 물양장,고립,,37.02208,126.5743517
충청남도,당진시,석문면,당진시 석문면 난지도리 도비도선착장,추락,,37.017595,126.4569683
충청남도,당진시,석문면,교로리 당진화력 회처리장 내,고립,,37.02516667,126.4715
충청남도,당진시,석문면,당진시 석문면 장고항 동측 선착장 끝단,추락,,37.02555833,126.5557017
경기도,화성시,서신면,경기도 화성시 서신면 제부리(바닷길 진입로 500m),고립,,37.17223333,126.6416767
경기도,화성시,서신면,경기 화성시 서신면 제부도 물길 중간부 출도 방향(바닷길 가로등 27~28번),추락,,37.17260333,126.6398117
경기도,화성시,서신면,제부도 입도도로,추락,,37.17261333,126.6398067
경기도,화성시,서신면,제부리 제부도 선착장 앞,고립,,37.17391,126.61974
경기도,화성시,서신면,경기도 화성시 서신면 전곡리 전곡항 슬립웨이,고립,,37.18558833,126.6508117
경기도,안산시,단원구,경기도 안산시 탄도항 부잔교,고립,,37.18742167,126.6408333
경기도,안산시,단원구,경기도 안산시 단원구 탄도항 슬립웨이,고립,,37.188215,126.6411783
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 1851-7 명동횟집 앞 ,고립,,37.27456,126.5425767
경기도,안산시,대부북동,안산시 대부북동 소재 구봉도 주차장 옆 해안가 진입 도로상 ,고립,,37.27552833,126.5508167
경시도,안산시,단원구,경기도 안산시 단원구 대부북동 구봉도 주차장,고립,,37.27566667,126.5506667
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 산33번지 구봉타운길 39-15 인근 해안가(구봉도 천연약수횟집 앞),고립,,37.27588167,126.5504733
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 구봉도 낙조전망대 인근,고립,,37.28516667,126.5361667
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 1843-3번지 바지락칼국수집 앞 ,고립,,37.28581333,126.571335
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 방아머리해수욕장 해변,고립,,37.286,126.5716667
경기도,안산시,대부북동,안산시 대부북동 구봉도 선돌바위 인근 해안도로,고립,,37.284,126.537
경기도,안산시,대부북동,안산시 방아머리 선착장 끝단,추락,,37.29132333,126.5710883
경기도,안산시,대부북동,경기도 안산시 단원구 대부북동 구봉도,고립,,37.28466667,126.537
경기도,안산시,구봉도,경기도 안산시 소재 구봉도 낙조전망대 인근 해안가,고립,,37.28483333,126.5368333
충청남도,당진시,석문면,당진시 석문면 장고항리 장고항 선착장,고립,,37.03536,126.5569483
충청남도,당진시,석문면,당진시 석문면 교로2리 왜목 캠프 앞 해변,고립,,37.04036,126.5228067
충청남도,당진시,석문면,당진시 석문면 교로리 왜목 선착장,고립,,37.04231,126.5232283
충청남도,당진시,석문면,당진시 석문면 장고항리,추락,,37.03453167,126.5507033
충청남도,당진시,석문면,대난지도 마을선착장 인근 갯벌,고립,,37.05203,126.4427167
경기도,화성시,서신면,경기도 화성시 궁평항 중간선착장,고립,,37.07,126.7253333
경기도,화성시,우정읍,매향2리 중간선착장,고립,,37.07010667,126.7253633
경기도,화성시,서신면,경기도 화성시 서신면 궁평리 궁평항 선착장,고립,,37.10918333,126.67515
경기도,화성시,서신면,궁평항 선착장,추락,,37.10933333,126.6730467
경기도,화성시,서신면,궁평항 긴선착장,고립,,37.1095,126.672
경기도,화성시,서신면,경기도 화성시 서신면 궁평리 1049-24(궁평유원지 진입로),고립,,37.117,126.6833333
경기도,화성시,서신면,경기도 화성시 궁평항 갯벌체험장 인근 슬립웨이,고립,,37.11716667,126.6765
경기도,화성시,서신면,궁평항,추락,,37.11721,126.67504
경기도,화성시 ,서신면,궁평유원지,고립,,37.12422333,126.6759267
경기도,화성시,서신면,경기도 화성시 궁평항 해안가 도로,고립,,37.11783333,126.6841667
충청남도,보령시,웅천읍,독산해수욕장 주변 ,고립,,36.22016667,126.5251667
충청남도,보령시,남포면,죽도 선착장,추락,,36.27188833,126.5366533
충청남도,보령시,신흑동,대천해수욕장 지구대 앞 백사장,고립,,36.30666667,126.5078333
충청남도,보령시,신흑동,대천항 유람선부두 ,추락,,36.32321167,126.50673
충청남도,보령시,신흑동,대천서부수협 앞 ,추락,,36.323215,126.508285
충청남도,보령시,신흑동,대천항 대천파출소 앞 ,추락,,36.32323167,126.5053433
충청남도,보령시,신흑동,대천항 여객선 터미널 물량장 앞 ,추락,,36.32325,126.50745
충청남도,보령시,신흑동,신협수협 인근 선착장,추락,,36.32343333,126.5042017
충청남도,태안군,고남면,충남 태안군 영목항 앞 선착장,고립,,36.39295833,126.4227383
충청남도,태안군,고남면,영목항 선착장(출장소 앞 슬립웨이),고립,,36.39297167,126.4227467
충청남도,태안군,고남면,충남 태안군 고남면 가경주항 방파제 인근,추락,,36.404315,126.4066783
충청남도,태안군,고남면,충남 태안군 고남면 바람아래 해변,고립,,36.407515,126.37286
충청남도,태안군,고남면,장삼포해수욕장 해변,고립,,36.42016667,126.3556667
충청남도 ,태안군,고남면,구매항 ,고립,,36.42153,126.425735
충청남도,태안군,고남면,태안군 고남면 구매항 선착장,고립,,36.42154167,126.425735
충청남도,태안군,안면읍,중장리 대야도 선착장,고립,,36.46677,126.409645
충청남도,태안군,안면읍,꽃지해수욕장 백사장(리솜오션캐슬 앞),고립,,36.48638833,126.33498
충청남도,태안군,안면읍,방포항,추락,,36.50228,126.3347467
충청남도,안면읍,방포항,충남 태안군 안면읍 방포항,추락,,36.50313,126.3259583
충청남도,태안군,안면읍,안면해수욕장,고립,,36.54283333,126.3236667
충청남도,태안군,안면읍,충남 태안군 안면읍 황도,고립,,36.60016667,126.3848333
충청남도,서산시,부석면,간월암 삼거리 해변,추락,,36.60321167,126.4076417
충청남도,태안군,남면,당암리 수협위판장 앞 ,고립,,36.6195,126.3531667
충청남도,태안군,남면,당암리 선착장,고립,,36.61966667,126.3536667
충청남도,태안군,남면,태안군 마검포항 선착장,추락,,36.62083333,126.2845
충청남도,서산시,부석면,창리항 선착장,고립,,36.62139667,126.36707
충청남도,태안군,남면,충남 태안군 남면 천수만로 467번지(남면 당알리 관광안내소),추락,,36.62162167,126.3557483
충청남도,태안군,남면,몽산포항 내,고립,,36.670105,126.270505
충청남도,태안군,근흥면,신진항 물량장 앞,추락,,36.67329,126.13517
충청남도,태안군,근흥면,신진도 수협위판장 앞  ,추락,,36.67383333,126.135
충청남도,태안군,소원면,어은돌항 물양장 내,고립,,36.74316667,126.123
충청남도,태안군,소원면,만리포해수욕장 돌섬횟집 앞 백사장,고립,,36.78466667,126.1383333
충청남도,태안군,소원면,만리포해수욕장 해변,고립,,36.78483333,126.1381667
충청남도,태안군,소원면,충남 태안군 천리포 출장소 앞 슬립웨이 끝단,고립,,36.80216667,126.1418333
충청남도,태안군,소원면,의항리 3구 소근진 소들선착장 ,고립,,36.81851333,126.17559
충청남도,태안군,소원면,충남 태안군 소원면 소재 의향 남향 갯바위 끝단,고립,,36.82175333,126.171305
충청남도,서산시,팔봉면,구도항 선착장,고립,,36.82296333,126.3221067
충청남도,태안군,소원면,의항리 개목항 방향 웅도 방조제,고립,,36.82383333,126.1671667
충청남도,태안군,원북면,신두리 해안사구 로타리 해변,고립,,36.83566667,126.184
충청남도,태안군,원북면,충남 태안군 원북면 신두리 사구,고립,,36.838,126.1871667
충청남도,태안군,원북면,신두리 해안사구 앞 해변 ,고립,,36.84066667,126.1903333
충청남도,태안군,원북면,신두리 해안사구 우측 끝단 모래사장,고립,,36.8505,126.1921667
충청남도,태안군,원북면,충남 태안군 원북면 소재 구례포해수욕장 좌측 끝단,고립,,36.884,126.1893333
충청남도,태안군,학암포,충남 태안군 학암포 안채 해수욕장 모래사장,고립,,36.89266667,126.205
충청남도,태안군,원북면,학암포항 선착장 ,추락,,36.90160667,126.2038667
충청남도,서산시,대산읍,웅도 잠수교,고립,,36.922,126.3873333
충청남도,서산시,대산읍,웅도 잠수교,고립,,36.92233333,126.3873333
충청남도,서산시,대산읍,오지리 벌말항 선착장 끝단,고립,,36.95678667,126.3334067
충청남도,보령시,웅천읍,보령시 웅천읍 독산해수욕장 백사장,고립,,36.2202,126.5251833
충청남도,보령시,웅천읍,독산해수욕장 안쪽 슬립웨이 부근,고립,,36.22616667,126.5245
충청남도,보령시,웅천읍,무창포항 우정수산 앞 슬립웨이,고립,,36.24208667,126.536715
충청남도,보령시,남포면,충남 보령시 남포면 월전리 용두해수욕장,고립,,36.25666667,126.5405
충청남도,보령시,신흑동,대천해수욕장 4번망루 인근 해변,고립,,36.30399833,126.5093617
충청남도,보령시,신흑동,보령시 신흑동 대천해수욕장 신광장 앞 해변,고립,,36.30833333,126.506
충청남도,보령시,신흑동,보령시 신흑동 대천항 근해안강망 부두,추락,,36.32318333,126.5082717
충청남도,보령시,오천면,삽시도 진너머 해수욕장 ,고립,,36.34116667,126.3513333
충청남도,보령시,오천면,원산도해수욕장 입구,고립,,36.35783333,126.4236667
충청남도,보령시,내항동,충남 보령시 내항동 세월교(잠수교),고립,,36.35116667,126.5565
충청남도,보령시,오천면,충남 보령시 오천면 수협 앞 슬립웨이,추락,,36.43683333,126.5183333
충청남도,보령시,오천면,보령시 오천면 오천항 수협 앞 물량장,고립,,36.437,126.519
충청남도,홍성군,서부면,충남 홍성군 서부면 궁리항 선착장,추락,,36.50420167,126.4764533
충청남도,홍성군,궁리,충남 홍성군 궁리 농어촌공사 사무실 앞 ,추락,,36.51666667,126.4761667
충청남도,홍성군,천북면,"홍성군 홍성방조제(장은항, 수룡항 사이)",추락,,36.52083333,126.485
충청남도,홍성군,서부면,남당항-어사항 사이(어사항 100m전) 해안가,고립,,36.54066667,126.459
충청남도,홍성군,서부면,궁리항포구 선착장,고립,,36.58616667,126.4541667
충청남도,서천군,마서면,서천군 마서면 송석리 송석항 남방,고립,,36.07295167,126.6190417
충청남도,서천군,비인면,서천군 비인면 다사리 다사항 선착장,추락,,36.09083333,126.6075
충청남도,서천군,서면,서천군 마량항,추락,,36.124095,126.5027983
충청남도,서천군,비인면,서천군 비인면 소재 쌍도(선도리갯벌체험장 모래사장),고립,,36.126265,126.57595
충청남도,서천군,서면,충남 서천군 마량항 마량해경출장소 우측 약 100미터 ,추락,,36.13389333,126.5028533
충청남도,서천군,서면,홍원 안강망 부두 슬립웨이,추락,,36.15471667,126.5021067
충청남도,서천군,서면,"홍원항 수협위판장 앞 물량장
마리나항 물량장",고립,,36.154755,126.5001417
충청남도,서천군,서면,홍원항 홍원파출소 앞 ,추락,,36.15540833,126.4932167
충청남도,서천군,서면,충남 서천군 서면 홍원항 너뱅이횟집 앞 갯바위,추락,,36.15550667,126.49262
충청남도,서천군,서면,충남 서천군 서면 홍원항 마리나부두 선착장,추락,,36.15570667,126.50399
충청남도,서천군,서면,충남 서천군 서면 홍원항 가온낚시점 앞 슬립웨이,추락,,36.15111833,126.507915
전라북도,군산시,비응도동,군산 비응항 제방공장 앞 서해조선소 옆 물량장,추락,,35.93333333,126.5246667
충청남도,서천군,장항읍,서천군 장항읍 송림리 모래터 서쪽갯벌 100m,고립,,36.021,126.658
충청남도,서천군,장항읍,충남 장항읍 송림산림욕장 해안가 100m 앞 갯벌,고립,,36.01735333,126.658875
